dataset,method,acc,std_acc,min_acc,max_acc,macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,precision,std_precision,min_precision,max_precision,recall,std_recall,min_recall,max_recall,nll,std_nll,min_nll,max_nll,ece,std_ece,min_ece,max_ece,unc_mean,std_unc_mean,min_unc_mean,max_unc_mean,unc_comb,std_unc_comb,min_unc_comb,max_unc_comb,fusion_depth,std_fusion_depth,min_fusion_depth,max_fusion_depth,n_runs,n_seeds
breast-cancer-wisconsin,RIPPER:native_ordered_rule,0.8978102189781023,0.0,0.8978102189781022,0.8978102189781022,0.8798245614035087,0.0,0.8798245614035087,0.8798245614035087,0.9217546754675467,0.0,0.9217546754675467,0.9217546754675467,0.8589653558052435,0.0,0.8589653558052435,0.8589653558052435,2.8236079972491734,0.0,2.8236079972491734,2.8236079972491734,0.10218978102089779,0.0,0.1021897810208978,0.1021897810208978,,,,,,,,,,,,,5,5
breast-cancer-wisconsin,RIPPER:first_hit_laplace,0.8978102189781023,0.0,0.8978102189781022,0.8978102189781022,0.8798245614035087,0.0,0.8798245614035087,0.8798245614035087,0.9217546754675467,0.0,0.9217546754675467,0.9217546754675467,0.8589653558052435,0.0,0.8589653558052435,0.8589653558052435,0.3494336782815628,0.0,0.3494336782815628,0.3494336782815628,0.0495582020745293,0.0,0.0495582020745293,0.0495582020745293,,,,,,,,,,,,,5,5
breast-cancer-wisconsin,RIPPER:weighted_vote,0.9343065693430657,0.0,0.9343065693430656,0.9343065693430656,0.9259592866150242,0.0,0.9259592866150244,0.9259592866150244,0.9395101434933203,0.0,0.9395101434933202,0.9395101434933202,0.9158473782771536,0.0,0.9158473782771536,0.9158473782771536,0.6779681773443913,0.0,0.6779681773443913,0.6779681773443913,0.0395519207652438,0.0,0.0395519207652438,0.0395519207652438,,,,,,,,,,,,,5,5
breast-cancer-wisconsin,RIPPER:dsgd_dempster,0.9343065693430657,0.0,0.9343065693430656,0.9343065693430656,0.9259592866150242,0.0,0.9259592866150244,0.9259592866150244,0.9395101434933203,0.0,0.9395101434933202,0.9395101434933202,0.9158473782771536,0.0,0.9158473782771536,0.9158473782771536,0.18673641937964544,0.0013362013273895918,0.1846758003906968,0.1883930839925162,0.08744507871346612,0.004478924845192065,0.0796177220516468,0.0904679573037522,0.5284461578748523,0.004141519742551119,0.5216307896767219,0.5313733478967291,0.25393402042397617,0.0020667028371603546,0.2514621672512841,0.2562176080515785,,,,,5,5
breast-cancer-wisconsin,FOIL:native_ordered_rule,0.9635036496350364,0.0,0.9635036496350364,0.9635036496350364,0.95930612487376,0.0,0.95930612487376,0.95930612487376,0.9671497584541061,0.0,0.9671497584541062,0.9671497584541062,0.9527153558052437,0.0,0.9527153558052436,0.9527153558052436,1.0084314275896336,0.0,1.0084314275896336,1.0084314275896336,0.0364963503639634,0.0,0.0364963503639634,0.0364963503639634,,,,,,,,,,,,,5,5
breast-cancer-wisconsin,FOIL:first_hit_laplace,0.9635036496350364,0.0,0.9635036496350364,0.9635036496350364,0.95930612487376,0.0,0.95930612487376,0.95930612487376,0.9671497584541061,0.0,0.9671497584541062,0.9671497584541062,0.9527153558052437,0.0,0.9527153558052436,0.9527153558052436,0.1595552416314497,0.0,0.1595552416314497,0.1595552416314497,0.016135228582405,0.0,0.016135228582405,0.016135228582405,,,,,,,,,,,,,5,5
breast-cancer-wisconsin,FOIL:weighted_vote,0.9635036496350364,0.0,0.9635036496350364,0.9635036496350364,0.95930612487376,0.0,0.95930612487376,0.95930612487376,0.9671497584541061,0.0,0.9671497584541062,0.9671497584541062,0.9527153558052437,0.0,0.9527153558052436,0.9527153558052436,0.24722150175982543,0.0,0.2472215017598254,0.2472215017598254,0.0109489051085546,0.0,0.0109489051085546,0.0109489051085546,,,,,,,,,,,,,5,5
breast-cancer-wisconsin,FOIL:dsgd_dempster,0.9635036496350364,0.0,0.9635036496350364,0.9635036496350364,0.95930612487376,0.0,0.95930612487376,0.95930612487376,0.9671497584541061,0.0,0.9671497584541062,0.9671497584541062,0.9527153558052437,0.0,0.9527153558052436,0.9527153558052436,0.16661469574674337,0.0012874105315419803,0.1653282264983282,0.1683701694176168,0.09654585568029436,0.0010532388484892302,0.0955031749051541,0.0980214478440044,0.49472697485972494,0.0038604312974805893,0.490856712752015,0.5005750327649778,0.26608439905528164,0.0021064777634770436,0.2639990353831056,0.2690355830764683,,,,,5,5
df_wine,RF,0.9984615384615385,0.0,0.9984615384615384,0.9984615384615384,0.9984347721389442,0.0,0.9984347721389442,0.9984347721389442,0.9986413043478262,0.0,0.9986413043478262,0.9986413043478262,0.9982332155477032,0.0,0.9982332155477032,0.9982332155477032,0.023171513397082,0.00032342190831230304,0.0226489956957565,0.0235185023382389,0.01860000000032892,0.00040245869721047806,0.0181115384618707,0.0191288461541761,,,,,,,,,,,,,5,5
df_wine,RIPPER:native_ordered_rule,0.9846153846153847,0.008531181928007205,0.9746153846153848,0.9938461538461538,0.9844219324494403,0.008616941728738758,0.9743302990430408,0.9937490833992484,0.9831574769806108,0.009223074957566609,0.9724880924299067,0.9931943056943058,0.9862142671455117,0.007541717715778818,0.9773182426512358,0.9943482154032794,0.42509263255374713,0.23572526799659624,0.1700370530220989,0.7014028437130326,0.015384615383615222,0.008531181928007222,0.006153846152846,0.0253846153836152,,,,,,,,,,,,,5,5
df_wine,RIPPER:first_hit_laplace,0.9846153846153847,0.008531181928007205,0.9746153846153848,0.9938461538461538,0.9844219324494403,0.008616941728738758,0.9743302990430408,0.9937490833992484,0.9831574769806108,0.009223074957566609,0.9724880924299067,0.9931943056943058,0.9862142671455117,0.007541717715778818,0.9773182426512358,0.9943482154032794,0.09853447908406292,0.0246582873061863,0.0718541243957906,0.1274381966630246,0.037246963562752824,0.008531181928007218,0.0272469635627529,0.046477732793522,,,,,,,,,,,,,5,5
df_wine,RIPPER:weighted_vote,0.9870769230769231,0.005636944910941897,0.9815384615384616,0.9946153846153846,0.9868308890520971,0.00575887910397475,0.9811693814141794,0.994527221061178,0.987647029956485,0.00499004608066508,0.9827704797333954,0.9942383378331918,0.9861295385178266,0.0064302619049726875,0.9798095531527716,0.9948272209972944,0.03890340137621382,0.004073372503373924,0.0338529122146505,0.0437597656811038,0.00778404101058956,0.0025015001677362353,0.0051959374727146,0.0105649538416111,,,,,,,,,,,,,5,5
df_wine,RIPPER:dsgd_dempster,0.9883076923076922,0.004846764308314904,0.9815384615384616,0.9946153846153846,0.9881040682737579,0.004948021352530582,0.9811693814141794,0.994527221061178,0.9881956137438005,0.004399800425210887,0.9827704797333954,0.9942383378331918,0.9881091073646509,0.00553185694668997,0.9798095531527716,0.9948272209972944,0.19762026520439568,0.024822453304483374,0.1792562941539118,0.2382975474879036,0.16794366990343026,0.018732691349845818,0.1538537757252828,0.1966500023775127,0.5412152102268659,0.012162758804360579,0.5271906571663343,0.5530353675897305,0.3315510260531535,0.038125168675168214,0.3016082978477845,0.3925124364862075,,,,,5,5
