dataset,inducer,seed,system,acc,macro_f1,precision,recall,nll,ece,unc_mean,unc_comb,fusion_depth,method
df_wine,FOIL,42,dsgd_dempster,0.7315384615384616,0.7198993687394855,0.73149594985362,0.7171724708986049,0.5951573976752605,0.0638423369364884,0.4685901181972944,0.2229019721196247,10.57153846153846,FOIL:dsgd_dempster
df_wine,FOIL,42,dsgd_yager,0.7153846153846154,0.6947496947496947,0.724401090551533,0.693364207931755,0.5798444263931158,0.0420691184120399,0.4685901181972944,0.3149020549540336,10.57153846153846,FOIL:dsgd_yager
dry-bean,RF,42,rf,0.9214102093279471,0.9329669417158988,0.9348437507226056,0.9313090768663628,0.2581858376312009,0.009592361362912,,,,RF
dry-bean,RIPPER,42,first_hit_laplace,0.8060962174072714,0.8113632515256547,0.8161975468566375,0.8241905606157384,0.7410290264772855,0.0592506731689606,,,,RIPPER:first_hit_laplace
dry-bean,RIPPER,42,weighted_vote,0.8318031582813074,0.7559785251466627,0.8653474124563693,0.7570624484770411,0.8495483808472712,0.0981365487686119,,,,RIPPER:weighted_vote
dry-bean,RIPPER,42,dsgd_dempster,0.8982739625413148,0.8967903999162022,0.910864802016482,0.8866937560593101,0.5083811367000937,0.1099413873184279,0.4283316602415343,0.1827598430853839,35.21263312522952,RIPPER:dsgd_dempster
dry-bean,RIPPER,42,dsgd_yager,0.6004406904149835,0.5073141857351913,0.6731885230015167,0.5164361591814074,1.2154036246002349,0.1729704877414084,0.4283316602415343,0.3956282262293963,35.21263312522952,RIPPER:dsgd_yager
dry-bean,FOIL,42,first_hit_laplace,0.8975394785163423,0.9106513294854144,0.9139965128264904,0.9080644851747444,0.4741120397048445,0.0332199977903855,,,,FOIL:first_hit_laplace
dry-bean,FOIL,42,weighted_vote,0.9001101726037458,0.8999901270848012,0.9138521475953064,0.8901275137515074,0.9530020042371978,0.0336019634619851,,,,FOIL:weighted_vote
dry-bean,FOIL,42,dsgd_dempster,0.9125964010282775,0.924698100864272,0.9268407953854249,0.9227501255752268,0.316044353193088,0.0259899691615528,0.2836180620998133,0.0735817216706109,19.06830701432244,FOIL:dsgd_dempster
dry-bean,FOIL,42,dsgd_yager,0.8556738890929122,0.8431913118544244,0.8689506874536167,0.8298054507690736,0.8216566476221544,0.3395977601683856,0.2836180620998133,0.3572499196601331,19.06830701432244,FOIL:dsgd_yager
gas_drift,RF,42,rf,0.9949676491732566,0.9949216267978972,0.9953008617863645,0.9945618966870048,0.0603473987091562,0.0312059669333632,,,,RF
gas_drift,RIPPER,42,first_hit_laplace,0.6441409058231489,0.5967188296625349,0.6354596126559657,0.5998488071260798,1.1768355089153986,0.0895818153281344,,,,RIPPER:first_hit_laplace
gas_drift,RIPPER,42,weighted_vote,0.7286125089863408,0.697594478677826,0.7754288713386689,0.689708505263768,2.1852070210694214,0.0540248697936256,,,,RIPPER:weighted_vote
gas_drift,RIPPER,42,dsgd_dempster,0.9352983465132998,0.9331847502946649,0.9358750275078672,0.9310599431445018,0.2443072176164632,0.0203491335393966,0.1569876515575685,0.0779339038023067,8.406542056074766,RIPPER:dsgd_dempster
gas_drift,RIPPER,42,dsgd_yager,0.6099928109273903,0.5922465158271213,0.6770612890547351,0.5757039153742312,1.125770559600863,0.134092028287578,0.1569876515575685,0.4071861859898292,8.406542056074766,RIPPER:dsgd_yager
gas_drift,FOIL,42,first_hit_laplace,0.8069734004313444,0.790538261526143,0.8388973518687411,0.7781143112474975,0.7659757259960529,0.0886371839614184,,,,FOIL:first_hit_laplace
gas_drift,FOIL,42,weighted_vote,0.9313443565780014,0.9260000095548776,0.9353456536516168,0.9200874472498888,0.4839371247160517,0.0986586091157581,,,,FOIL:weighted_vote
gas_drift,FOIL,42,dsgd_dempster,0.9766355140186916,0.975072699398725,0.977281737782204,0.9731724829615068,0.1249289111662983,0.0100301743787762,0.1792227307081458,0.0199268553687204,11.58411214953271,FOIL:dsgd_dempster
gas_drift,FOIL,42,dsgd_yager,0.8418404025880661,0.8288646504347185,0.8741870656018332,0.8194804874390398,0.6648256096139477,0.1961249593098883,0.1792227307081458,0.3043021085619897,11.58411214953271,FOIL:dsgd_yager
german,RF,42,rf,0.795,0.7210030281378653,0.7802188691759244,0.7011904761904761,0.4835296302617428,0.07235,,,,RF
german,RIPPER,42,first_hit_laplace,0.695,0.4994871794871794,0.5900900900900901,0.5297619047619048,0.788817623108165,0.2056572612333694,,,,RIPPER:first_hit_laplace
german,RIPPER,42,weighted_vote,0.76,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.7799623771197397,0.0963202309601939,,,,RIPPER:weighted_vote
german,RIPPER,42,dsgd_dempster,0.745,0.6746515262671047,0.693297177026839,0.6654761904761906,0.599887207607531,0.0739935445386714,0.4214232985675334,0.2126442208886146,6.355,RIPPER:dsgd_dempster
german,RIPPER,42,dsgd_yager,0.745,0.6746515262671047,0.693297177026839,0.6654761904761906,0.5022943732990183,0.0858724060203536,0.4214232985675334,0.2982315487042069,6.355,RIPPER:dsgd_yager
german,FOIL,42,first_hit_laplace,0.715,0.5008538027058977,0.6919720767888307,0.5392857142857143,0.7731222956683133,0.2032840749253852,,,,FOIL:first_hit_laplace
german,FOIL,42,weighted_vote,0.74,0.5776478232618583,0.7445652173913043,0.5857142857142857,1.869962430178414,0.1511399682970174,,,,FOIL:weighted_vote
german,FOIL,42,dsgd_dempster,0.745,0.6784261798921782,0.6932693607244222,0.6702380952380952,2.017273897168659,0.1587895386511468,0.390050935447216,0.100191304385662,10.675,FOIL:dsgd_dempster
german,FOIL,42,dsgd_yager,0.745,0.6707021791767553,0.6935483870967742,0.6607142857142857,0.620410245747697,0.118687900963239,0.390050935447216,0.2522138904576653,10.675,FOIL:dsgd_yager
magic-gamma,RF,42,rf,0.8890641430073607,0.8746991758636322,0.8889898197081038,0.8646943726155536,0.2902090120234432,0.0348363564669148,,,,RF
magic-gamma,RIPPER,42,first_hit_laplace,0.7184542586750788,0.5824525029017108,0.8256584762668393,0.6021688688131684,0.7275728067372363,0.1883509009531995,,,,RIPPER:first_hit_laplace
magic-gamma,RIPPER,42,weighted_vote,0.7923238696109358,0.7664563720210201,0.775072964669739,0.7605079302732407,0.4773784768910238,0.0891578019466227,,,,RIPPER:weighted_vote
magic-gamma,RIPPER,42,dsgd_dempster,0.8543638275499474,0.8336616295637728,0.8527354331545121,0.8220334668077787,0.3604237005935379,0.0154624397423066,0.5689880966153055,0.1551790296655348,21.81440588853838,RIPPER:dsgd_dempster
magic-gamma,RIPPER,42,dsgd_yager,0.711093585699264,0.7030254480142374,0.7064090590222865,0.7260600671372823,0.5727829654540535,0.0750557200239235,0.5689880966153055,0.3200757401720175,21.81440588853838,RIPPER:dsgd_yager
magic-gamma,FOIL,42,first_hit_laplace,0.7365930599369085,0.6217592188306276,0.8336082733869572,0.6284664259034983,0.6955393922952402,0.1857074883836639,,,,FOIL:first_hit_laplace
magic-gamma,FOIL,42,weighted_vote,0.795478443743428,0.7312177408104903,0.8629805757311191,0.7131990587687619,0.7610348013721306,0.0597493445529265,,,,FOIL:weighted_vote
magic-gamma,FOIL,42,dsgd_dempster,0.8690851735015773,0.8504121894365797,0.870610965557669,0.838003120465233,0.3218282686901299,0.0163721323356474,0.5178200383322974,0.1217116960309657,24.534700315457417,FOIL:dsgd_dempster
magic-gamma,FOIL,42,dsgd_yager,0.8317560462670873,0.811897344607625,0.8192203460496144,0.806305667390411,0.4443427545418282,0.1291224427443737,0.5178200383322974,0.2975743692010821,24.534700315457417,FOIL:dsgd_yager
